0.00010007,1.00E-08,1.00226E-08
9.99E-05,1.00E-06,1.00E-08
9.99E-05,9.97E-09,9.98E-09
0.0001,1.00E-08,1.00E-08
0.0001,1.00E-08,1.00E-08
9.99E-05,1.00E-08,1.00E-08
9.99E-05,1.00E-08,1.00E-08
9.99E-05,1.00E-06,1.00E-08
0.0001,9.96E-09,9.97E-09
9.99E-05,1.00E-06,1.01E-08
9.99E-05,1.00E-08,1.00E-08
0.0001,1.00E-06,1.00E-08
9.99E-05,9.97E-09,1.00E-08
9.99E-05,1.00E-06,1.00E-08
0.0001,1.00E-06,7.07E-09
9.99E-05,1.00E-06,1.01E-08
0.0001,9.99E-07,9.99E-09
9.99E-05,1.00E-06,1.01E-08
9.99E-05,1.00E-06,9.99E-09
9.99E-05,1.00E-06,1.00E-08
9.99E-05,1.00E-06,1.00E-08
9.99E-05,1.00E-06,1.00E-08
0.0001,1.00E-06,1.01E-08
9.99E-05,1.00E-08,1.01E-08
9.99E-05,9.99E-07,1.00E-08
9.99E-05,1.01E-08,1.01E-08
0.0001,1.00E-06,1.00E-08
0.0001,9.99E-09,1.00E-08
0.0001,1.00E-06,9.70E-09
0.0001,1.00E-08,1.00E-08
0.0001,1.00E-06,1.01E-08
0.0001,9.98E-09,9.99E-09
